species_name,Output_name,中文名,生活型,株,茎,枝,叶,花,果,种子,国内产地,国外分布,特有性,生境,海拔,物候期
Brasenia schreberi,Brasenia schreberi J. F. Gmel.,莼菜,多年生水生草本；,NA,根茎小，匍匐；茎细长，多分枝，包被胶质鞘内；,NA,叶二型：浮水叶互生，盾状，椭圆状长圆形，长3.5-6厘米，宽5-10厘米，上面绿色，下面带紫色，无毛，在叶脉处皱缩，全缘，叶柄长25-40厘米，被柔毛；沉水叶至少在芽时存在；,花小，单生叶腋，径1-2厘米；花被片6，2轮，条形，长1-1.5厘米，暗紫色，宿存；雄蕊12-18，花丝锥状，花药条形，长约4毫米，侧向；心皮6-18，离生，条形，被微柔毛，子房上位，花柱短，柱头侧生；,坚果革质，长圆状卵形，长约1厘米，顶端具弯刺，3个坚果或更多聚合为头状；,种子1-3，卵形；,江苏、浙江、江西、湖南、四川、云南；,俄罗斯、日本、印 度、美国、加拿大、大洋洲东部及非洲西部均；,NA,池塘、河湖或沼泽；,NA,花期6月，果期10-11月；
Cabomba caroliniana,Cabomba caroliniana A. Gray,竹节水松,多年生水生草本；,NA,茎长可达5m；,NA,叶二型，沉水叶具叶柄，对生，扇形，二叉分裂，裂片线形；浮水叶在花枝上互生，叶狭椭圆形，盾状着生；,花生于叶腋，花瓣6，白色或淡紫色，基部黄色；,NA,NA,NA,原产美洲；,NA,溪流、湖泊及沼泽中；,NA,NA
Cabomba furcata,Cabomba furcata Schult. & Schult.f.,红水盾草,多年生水生草本，地下根茎发达，茎长30-100cm，叶二型，叶红棕色，叶型与水盾草相似，花粉红色，基部黄色；,NA,NA,NA,叶二型，叶红棕色，叶型与水盾草相似；,花粉红色，基部黄色；,NA,NA,NA,原产南美洲；,NA,NA,50-150m；,NA
Cabomba caroliniana var. caroliniana,,Cabomba caroliniana var. caroliniana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euryale ferox,Euryale ferox Salisb. ex DC,芡实,一年生水生草本，具剌；,具剌；,根茎粗壮；茎不明显；,NA,叶二型：初生叶为沉水叶，箭形或椭圆形，长4-K)厘米，两面无刺；次生叶为浮水叶，革质，椭圆状肾形或圆形，径0.65-1.3米，盾状，全缘，上面深绿色，具蜡被，下面带紫色，被短柔毛，两面在叶脉分枝处具锐刺；叶柄及花梗粗壮，长达25厘米，均被硬刺；,花单生，伸出水面；萼片4，披针形，绿色，密被刺，内面紫色；花瓣多数，较萼片小，紫红色，数轮排列，向内渐变成雄蕊；雄蕊多数，花丝条形，花药内向，长圆形，药隔顶端平截；心皮8-10，子房下位，无花柱，柱头盘内凹，红色，边缘与萼筒愈合，每室胚珠少数；,浆果球形，径3-5(-10)厘米，暗紫红色，密被硬刺，顶端具宿存直立萼片；,种子20-100，球形，具浆质假种皮及黑色厚种皮，胚乳粉质；,NA,俄罗斯、朝鲜、日本及孟加拉国、印度、克什米尔；,NA,NA,NA,花期7-8月，果期8-9月；
Nuphar lutea,Nuphar lutea (Linnaeus) Smith,欧亚萍蓬草,多年水生草本；,NA,根状茎粗，可达10厘米；,NA,叶近革质，椭圆形，长15-20厘米，宽10-18厘米，基部弯缺占叶片1/3-1/4，裂片开展，下面无毛或有柔毛，且有明显分叉脉；叶柄三棱形；,花直径4-5厘米；萼片宽卵形至圆形，长2-3厘米；花瓣条形，长l-1.5厘米；柱头盘5-25裂，不达到柱头边缘；,浆果长2-3厘米；种子卵形，长约5毫米；,NA,新疆；,几全部欧洲，俄罗斯高加索和西伯利亚、伊朗、中亚；,NA,池沼中；,NA,花期7-8月，果期9-10月；
Nuphar pumila,Nuphar pumila (Timm) de Candolle,萍蓬草,多年生水生草本；,NA,根茎肥厚，径2-3厘米；,NA,叶生于根茎顶端，浮水叶纸质，卵形，宽卵形，稀椭圆形，长6-17厘米，宽6-12厘米，先端圆，基部具弯缺，裂片开展，上面光亮，无毛，下面密被柔毛，侧脉羽状，上部二歧分枝；沉水叶薄膜质，无毛；叶柄长20-50厘米，上部被柔毛，基部被绵毛；,花径3-4厘米；花梗长40-50厘米，被柔毛；萼片5，黄色，花瓣状，长圆形或椭圆形，长1-2厘米；花瓣多数，窄楔形，长5-7毫米，先端微凹；雄蕊多数；子房上位，柱头盘状常10浅裂；,浆果卵形，长约3厘米；种子长圆形，长5毫米，褐色；,NA,贵州、江西；,NA,NA,池沼中；,NA,花期5-7月，果期7-9月；
Nuphar pumila var. pumila,,Nuphar pumila var. pumila,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nuphar pumila subsp. sinensis,Nuphar pumila subsp. sinensis (Handel-Mazzetti) D. Padgett,中华萍蓬草,多年生水生草本；,NA,NA,NA,浮水叶近草质或纸质，心状卵形，长8.5-15厘米，基部弯缺约占叶片1/3，裂片开展，下面边缘密被柔毛，或部分近无毛；叶柄长约40厘米，基部具膜质翅，被长柔毛；,萼片5，长圆形或倒卵形，长2厘米；花瓣楔形，长7毫米，先端微缺；柱头盘10-13裂，疏离，伸出柱头边缘；,浆果径2厘米；,种子卵形，长约3毫米，淡褐色；,湖南、江西、贵州；,NA,NA,池塘中；,NA,花果期5-9月；
Nymphaea alba,Nymphaea alba L.,白睡莲,多年生水生草本；,NA,根茎横走；,NA,叶飘浮水面，革质，近圆形，宽10-20厘米，基部裂片稍重叠、全缘或波状，两面无毛，有小点；叶柄盾状着生，径约1厘米，长达50厘米，无毛；,花浮于水面，芳香，径10-20厘米，白天开放；萼片4，披针形，长4.5-6厘米，具5脉；花瓣20-25，白色，椭圆形至卵状椭圆形，长3-6厘米，内层渐小，并渐变态为雄蕊；花托圆柱形；内轮花丝和花药等宽，花粉粒具乳突；柱头辐射裂片14-22；,浆果卵形或近球形，长2.5-3厘米；,种子椭圆形，长2-3毫米；,河北、山东、陕西、浙江；,印度、俄罗斯高加索及欧洲；,NA,池沼中；,NA,花期6-8月，果期8-10月；
